BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Michael  Wilson,ARZ,WR,1,18,15,185,0,39,81.25,3.744,9,18.75,4.333,0,0,0,0,0,0,0,0,0
,George  Pickens,DAL,WR,1,11,9,144,1,27,96.429,5.333,1,3.571,0,0,0,0,0,0,0,0,0,0
,Tetairoa  McMillan,CAR,WR,1,12,8,130,2,36,75,2.75,12,25,2.583,0,0,0,0,0,0,0,0,0
,Drake  London,ATL,WR,1,9,7,119,0,13,48.148,2.769,14,51.852,5.929,0,0,0,0,0,0,0,0,0
,Trey  McBride,ARZ,TE,1,11,10,115,1,2,3.774,0,38,71.698,1.763,0,0,0,11,20.755,3.273,2,3.774,6
,Jahmyr  Gibbs,DET,RB,1,8,5,107,0,3,10.345,14,4,13.793,0,22,75.862,2.955,0,0,0,0,0,0
,Stefon  Diggs,NE,WR,1,11,9,105,0,10,32.258,3.3,20,64.516,3.6,1,3.226,0,0,0,0,0,0,0
,Jaxon  Smith-Njigba,SEA,WR,1,12,9,105,0,34,80.952,3.088,8,19.048,0,0,0,0,0,0,0,0,0,0
,Nico  Collins,HST,WR,1,10,9,92,1,30,76.923,2.033,9,23.077,3.444,0,0,0,0,0,0,0,0,0
,Travis  Kelce,KC,TE,1,13,9,91,1,7,17.5,3.143,15,37.5,2.733,0,0,0,3,7.5,7,15,37.5,0.467
,Tyrell  Shavers,BUF,WR,1,5,4,90,1,7,46.667,3.714,4,26.667,16,0,0,0,0,0,0,4,26.667,0
,Jameson  Williams,DET,WR,1,7,4,88,1,28,73.684,2.464,10,26.316,1.9,0,0,0,0,0,0,0,0,0
,Troy  Franklin,DEN,WR,1,8,4,84,0,22,68.75,3.455,10,31.25,0.8,0,0,0,0,0,0,0,0,0
,Xavier  Legette,CAR,WR,1,8,4,83,1,18,58.065,3.5,13,41.935,1.538,0,0,0,0,0,0,0,0,0
,Pat  Bryant,DEN,WR,1,6,5,82,0,7,28,6.857,18,72,1.889,0,0,0,0,0,0,0,0,0
,Kenneth  Gainwell,PIT,RB,1,8,7,81,2,0,0,0,1,4,0,22,88,3.682,0,0,0,2,8,0
,Zay  Flowers,BLT,WR,1,5,3,78,0,20,71.429,1.65,8,28.571,5.625,0,0,0,0,0,0,0,0,0
,Puka  Nacua,LA,WR,1,8,7,75,0,11,50,4.727,7,31.818,3.286,3,13.636,0,0,0,0,1,4.545,0
,Deebo  Samuel Sr.,WAS,WR,1,8,7,74,1,13,46.429,1.923,11,39.286,4,3,10.714,0,0,0,0,1,3.571,5
,Brock  Bowers,LV,TE,1,12,7,72,0,10,21.739,3.8,23,50,0.739,2,4.348,0,3,6.522,0,8,17.391,2.125
,AJ  Barner,SEA,TE,1,11,10,70,0,1,2.632,0,5,13.158,0,1,2.632,3,10,26.316,1.3,21,55.263,2.571
,Darnell  Washington,PIT,TE,1,5,4,67,0,5,22.727,0.8,0,0,0,2,9.091,0,3,13.636,10.333,12,54.545,2.667
,George  Kittle,SF,TE,1,6,6,67,2,1,3.704,0,9,33.333,0.778,0,0,0,6,22.222,5.667,11,40.741,2.364
,James  Cook,BUF,RB,1,3,3,66,1,0,0,0,0,0,0,17,100,3.882,0,0,0,0,0,0
